Title	TitleShort	ISSN	eISSN	Field	Parent	Format	Documentation
Atomization and Sprays	AAS	1044-5110	1936-2684	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/6a7c7e10642258cc.html
Catalysis in Green Chemistry and Engineering	CGCE	2572-9896	2572-990X	chemistry	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/74e300906b6eb358.html
Composites: Mechanics, Computations, Applications: An International Journal	CMCA	2152-2057	2152-2073	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/36ff4a142dec9609.html
Computational Thermal Sciences: An International Journal	CTS	1940-2503	1940-2554	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/648192910890cd0e.html
Critical Reviews in Biomedical Engineering	CRB	0278-940X	1943-619X	medicine	vancouver	numeric	http://dl.begellhouse.com/forauthors/journals/4b27cbfc562e21b8.html
Critical Reviews in Eukaryotic Gene Expression	CRE	1045-4403	2162-6502	medicine	vancouver	numeric	http://dl.begellhouse.com/forauthors/journals/6dbf508d3b17c437.html
Critical Reviews in Immunology	CRI	1040-8401	2162-6472	medicine	vancouver	numeric	http://dl.begellhouse.com/forauthors/journals/2ff21abf44b19838.html
Critical Reviews in Neurobiology	CRN	0892-0915	2375-0014	medicine	vancouver	numeric	http://dl.begellhouse.com/forauthors/journals/7b004699754c9fe6.html
Critical Reviews in Oncogenesis	CRO	0893-9675	2162-6448	medicine	vancouver	numeric	http://dl.begellhouse.com/forauthors/journals/439f422d0783386a.html
Critical Reviews in Physical and Rehabilitation Medicine	CRP	0896-2960	2162-6553	medicine	vancouver	numeric	http://dl.begellhouse.com/forauthors/journals/757fcb0219d89390.html
Critical Reviews in Therapeutic Drug Carrier Systems	CRT	0743-4863	2162-660X	medicine	vancouver	numeric	http://dl.begellhouse.com/forauthors/journals/3667c4ae6e8fd136.html
Ethics in Biology, Engineering and Medicine: An International Journal	EBEM	2151-805X	2151-8068	medicine	vancouver	numeric	http://dl.begellhouse.com/forauthors/journals/6ed509641f7324e6.html
Forum on Immunopathological Diseases and Therapeutics	FIDT	2151-8017	2151-8025	medicine	vancouver	numeric	http://dl.begellhouse.com/forauthors/journals/1a654bf03faf67ac.html
Heat Exchanger Design Updates	HEDU	1074-7214	2641-9122	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/30fe767f5b70553a.html
Heat Pipe Science and Technology, An International Journal	HPST	2151-7975	2151-7991	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/4b0844fc3a2ef17f.html
Heat Transfer Research	HTR	1064-2285	2162-6561	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/46784ef93dddff27.html
High Temperature Material Processes: An International Quarterly of High-Technology Plasma Processes	HTM	1093-3611	1940-4360	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/57d172397126f956.html
Hybrid Methods in Engineering	HME	1099-2391	2641-7359	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/1a37c0433d303e8b.html
Hydrobiological Journal	HYD	0018-8166	1943-5991	biology	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/38cb2223012b73f2.html
