Title	ISSN	eISSN	Documentation	Field
Expert Review of Anti-infective Therapy	1478-7210	1744-8336	http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ierz20#References	medicine
Expert Review of Anticancer Therapy	1473-7140	1744-8328	http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=iery20#References	medicine
Expert Review of Cardiovascular Therapy	1477-9072	1744-8344	http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ierk20#References	medicine
Expert Review of Clinical Immunology	1744-666X	1744-8409	http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ierm20#References	medicine
Expert Review of Clinical Pharmacology	1751-2433	1751-2441	http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ierj20#References	medicine
Expert Review of Endocrinology & Metabolism	1744-6651	1744-8417	http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=iere20#References	medicine
Expert Review of Gastroenterology & Hepatology	1747-4124	1747-4132	http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ierh20#References	medicine
Expert Review of Hematology	1747-4086	1747-4094	http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ierr20#References	medicine
Expert Review of Medical Devices	1743-4440	1745-2422	http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ierd20#References	medicine
Expert Review of Molecular Diagnostics	1473-7159	1744-8352	http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=iero20#References	medicine
Expert Review of Neurotherapeutics	1473-7175	1744-8360	http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=iern20#References	medicine
Expert Review of Ophthalmology	1746-9899	1746-9902	http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ierl20#References	medicine
Expert Review of Pharmacoeconomics & Outcomes Research	1473-7167	1744-8379	http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ierp20#References	medicine
Expert Review of Precision Medicine & Drug Development		2380-8993	http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tepm20#References	medicine
Expert Review of Proteomics	1478-9450	1744-8387	http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ieru20#References	medicine
Expert Review of Quality of Life in Cancer Care		2380-9000	http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=terq20#References	medicine
Expert Review of Respiratory Medicine	1747-6348	1747-6356	http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ierx20#References	medicine
Expert Review of Vaccines	1476-0584	1744-8395	http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ierv20#References	medicine
