TITLE	eISSN	ISSN	Documentation
African Invertebrates	2305-2562	1681-5556	https://africaninvertebrates.pensoft.net/about#CitationsandReferences
Nature Conservation	1314-3301	1314-6947	https://natureconservation.pensoft.net/about#CitationsandReferences
Comparative Cytogenetics	1993-078X	1993-0771	https://compcytogen.pensoft.net/about#CitationsandReferences
Nota Lepidopterologica	2367-5365	0342-7536	https://nl.pensoft.net/about#CitationsandReferences
Metabarcoding and Metagenomics	2534-9708		https://mbmg.pensoft.net/about#CitationsandReferences
Pharmacia	2603-557X	0428-0296	https://pharmacia.pensoft.net/about#CitationsandReferences
Arctic Environmental Research	2658-7173	2541-8416	https://aer.pensoft.net/about#CitationsandReferences
Neotropical Biology and Conservation	2236-3777		https://neotropical.pensoft.net/about#CitationsandReferences
Journal of Orthoptera Research	1937-2426	1082-6467	https://jor.pensoft.net/about#CitationsandReferences
MycoKeys	1314-4049	1314-4057	https://mycokeys.pensoft.net/about#CitationsandReferences
Italian Botanist	2531-4033		https://italianbotanist.pensoft.net/about#CitationsandReferences
Plant Sociology	2704-6192	2280-1855	https://plantsociology.arphahub.com/about#CitationsandReferences
Alpine Entomology	2535-0889		https://alpineentomology.pensoft.net/about#CitationsandReferences
Research Results in Pharmacology	2658-381X		https://rrpharmacology.pensoft.net/about#CitationsandReferences
Herpetozoa	2682-955X	1013-4425	https://herpetozoa.pensoft.net/about#CitationsandReferences
Acta Biologica Sibirica	2412-1908		https://abs.pensoft.net/about#CitationsandReferences
Check List	1809-127X		https://checklist.pensoft.net/about#CitationsandReferences
BioRisk	1313-2652	1313-2644	https://biorisk.pensoft.net/about#CitationsandReferences
Travaux du Muséum National d’Histoire Naturelle "Grigore Antipa"	2247-0735	1223-2254	https://travaux.pensoft.net/about#CitationsandReferences
Evolutionary Systematics	2535-0730		https://evolsyst.pensoft.net/about#CitationsandReferences
Subterranean Biology	1314-2615	1768-1448	https://subtbiol.pensoft.net/about#CitationsandReferences
PhytoKeys	1314-2003	1314-2011	https://phytokeys.pensoft.net/about#CitationsandReferences
Journal of Hymenoptera Research	1314-2607	1070-9428	https://jhr.pensoft.net/about#CitationsandReferences
Rethinking Ecology	2534-9260		https://rethinkingecology.pensoft.net/about#CitationsandReferences
NeoBiota	1314-2488	1619-0033	https://neobiota.pensoft.net/about#CitationsandReferences
Zoosystematics and Evolution	1860-0743	1435-1935	https://zse.pensoft.net/about#CitationsandReferences
ZooKeys	1313-2970	1313-2989	https://zookeys.pensoft.net/about#CitationsandReferences
Nuclear Energy and Technology	2452-3038		https://nucet.pensoft.net/about#CitationsandReferences
Deutsche Entomologische Zeitschrift	1860-1324	1435-1951	https://dez.pensoft.net/about#CitationsandReferences
