Title	ISSN	eISSN	Documentation	Parent
Analyst	0003-2654	1364-5528	http://xlink.rsc.org?genre=journal&eissn=0003-2654&date=1876	royal-society-of-chemistry
Analytical Methods	1759-9660	1759-9679	http://xlink.rsc.org?genre=journal&eissn=1759-9679&date=2009	royal-society-of-chemistry
Biomaterials Science	2047-4830	2047-4849	http://xlink.rsc.org?genre=journal&issn=2047-4849&date=2013	royal-society-of-chemistry
Catalysis Science & Technology	2044-4753	2044-4761	http://xlink.rsc.org?genre=journal&eissn=2044-4761&date=2011	royal-society-of-chemistry
Chemical Communications (Cambridge)	1359-7345	1364-548X	http://xlink.rsc.org?genre=journal&eissn=1364-548X&date=1996	royal-society-of-chemistry
Chemical Science	2041-6520	2041-6539	http://xlink.rsc.org?genre=journal&eissn=2041-6539&date=2010	royal-society-of-chemistry
Chemical Society Reviews	0306-0012	1460-4744	http://xlink.rsc.org?genre=journal&eissn=1460-4744&date=1972	royal-society-of-chemistry
Chemistry Education Research and Practice	1756-1108	1109-4028	http://xlink.rsc.org?genre=journal&eissn=1756-1108&date=2010	royal-society-of-chemistry
Chemistry World	1473-7604	1749-5318	www.chemistryworld.com	royal-society-of-chemistry
CrystEngComm	x	1466-8033	http://xlink.rsc.org?genre=journal&eissn=1466-8033&date=1999	royal-society-of-chemistry
Dalton Transactions	1477-9226	1477-9234	http://xlink.rsc.org?genre=journal&eissn=1477-9234&date=2003	royal-society-of-chemistry
Energy & Environmental Science	1754-5692	1754-5706	http://xlink.rsc.org?genre=journal&eissn=1754-5706&date=2008	royal-society-of-chemistry
Environmental Science: Nano	2051-8153	2051-8161	http://xlink.rsc.org?genre=journal&eissn=2051-8161&date=2014	royal-society-of-chemistry
Environmental Science: Processes & Impacts	2050-7887	2050-7895	http://xlink.rsc.org?genre=journal&eissn=2050-7895&date=2013	royal-society-of-chemistry
Environmental Science: Water Research & Technology	2053-1400	2053-1419	http://xlink.rsc.org?genre=journal&eissn=2053-1419&date=2015	royal-society-of-chemistry
Faraday Discussions	1359-6640	1364-5498	http://xlink.rsc.org?genre=journal&eissn=1364-5498&date=1991	royal-society-of-chemistry
Food & Function	2042-6496	2042-650X	http://xlink.rsc.org?genre=journal&eissn=2042-650X&date=2010	royal-society-of-chemistry
Green Chemistry	1463-9262	1463-9270	http://xlink.rsc.org?genre=journal&eissn=1463-9270&date=1999	royal-society-of-chemistry
Inorganic Chemistry Frontiers	x	2052-1553	http://xlink.rsc.org?genre=journal&eissn=2052-1553&date=2014	royal-society-of-chemistry
