Title	TitleShort	ISSN	EISSN	Parent	Format	Field	Locale
Acta Neuropathologica	Acta Neuropathol	0001-6322	1432-0533	springer-basic-brackets-no-et-al-alphabetical	numeric	science	en-US
Aging Clinical and Experimental Research			1720-8319	springer-basic-brackets	numeric		en-US
Analytical and Bioanalytical Chemistry	Anal Bioanal Chem	1618-2642	1618-2650	springer-basic-brackets-no-et-al	numeric	science	en-US
Applied Microbiology and Biotechnology	Appl Microbiol Biotechnol	0175-7598	1432-0614	springer-basic-author-date-no-et-al	author-date	science	en-US
Biological Procedures Online			1480-9222	springer-vancouver-brackets	numeric		en-US
Basic Research in Cardiology	Basic Res Cardiol	0300-8428	1435-1803	springer-basic-brackets-no-et-al-alphabetical	numeric	science	en-US
BMC Biochemistry			1471-2091	biomed-central	numeric	biology	en-US
BMC Bioinformatics			1471-2105	biomed-central	numeric	biology	en-US
BMC Cell Biology			1471-2121	biomed-central	numeric	biology	en-US
BMC Developmental Biology			1471-213X	biomed-central	numeric	biology	en-US
BMC Evolutionary Biology			1471-2148	biomed-central	numeric	biology	en-US
BMC Genetics			1471-2156	biomed-central	numeric	biology	en-US
BMC Genomics			1471-2164	biomed-central	numeric	biology	en-US
BMC Immunology			1471-2172	biomed-central	numeric	biology	en-US
BMC Microbiology			1471-2180	biomed-central	numeric	biology	en-US
BMC Molecular Biology			1471-2199	biomed-central	numeric	biology	en-US
BMC Neuroscience			1471-2202	biomed-central	numeric	biology	en-US
BMC Plant Biology			1471-2229	biomed-central	numeric	biology	en-US
BMC Anesthesiology			1471-2253	biomed-central	numeric	medicine	en-US
BMC Cardiovascular Disorders			1471-2261	biomed-central	numeric	medicine	en-US
BMC Emergency Medicine			1471-227X	biomed-central	numeric	medicine	en-US
BMC Medical Research Methodology			1471-2288	biomed-central	numeric	medicine	en-US
BMC Family Practice			1471-2296	biomed-central	numeric	medicine	en-US
BMC Gastroenterology			1471-230X	biomed-central	numeric	medicine	en-US
BMC Geriatrics			1471-2318	biomed-central	numeric	medicine	en-US
BMC Hematology			2052-1839	biomed-central	numeric	medicine	en-US
BMC Infectious Diseases			1471-2334	biomed-central	numeric	medicine	en-US
